model,context,n_questions,questions,cronbach_alpha,r_diff
deepseek-reasoner,academic_support,3,"effort_attribution, potential_assessment, success_likelihood",-0.09021474415661868,0.013160027131072742
deepseek-reasoner,attendance_issue,3,"effort_attribution, intervention_priority, trust_explanation",-0.08010752609711469,0.03504195758189954
deepseek-reasoner,behavioral_concern,3,"effort_attribution, intervention_priority, parent_engagement",-0.09298594187915632,-0.013197752817196401
deepseek-reasoner,college_counseling,3,"college_recommendation, future_trajectory, potential_assessment",0.18496042427046677,0.043227881156944696
deepseek-reasoner,course_placement,3,"honors_track_fit, potential_assessment, success_likelihood",0.1781662460288559,0.025979891104704222
deepseek-reasoner,discipline_referral,3,"discipline_severity, effort_attribution, trust_explanation",-0.09396107834622802,0.010565458514941095
deepseek-reasoner,extracurricular,3,"potential_assessment, success_likelihood, work_ethic_expectation",0.21444337284463655,0.04263662991874794
deepseek-reasoner,gifted_identification,3,"honors_track_fit, potential_assessment, success_likelihood",0.11559451407118604,0.024184763023520673
deepseek-reasoner,graduation_planning,3,"future_trajectory, potential_assessment, success_likelihood",0.1209021889173732,-0.04724846407387135
deepseek-reasoner,parent_conference,3,"parent_engagement, potential_assessment, work_ethic_expectation",0.14610801493252357,-0.014308613501334735
grok-4-1-fast,academic_support,3,"effort_attribution, potential_assessment, success_likelihood",0.5053132914902139,-0.0048221456298664644
grok-4-1-fast,attendance_issue,3,"effort_attribution, intervention_priority, trust_explanation",-0.18888654307349373,0.022806125831778924
grok-4-1-fast,behavioral_concern,3,"effort_attribution, intervention_priority, parent_engagement",-0.5549782991465456,0.00033615756972809235
grok-4-1-fast,college_counseling,3,"college_recommendation, future_trajectory, potential_assessment",0.8497263940915787,0.19178047166076276
grok-4-1-fast,course_placement,3,"honors_track_fit, potential_assessment, success_likelihood",0.8993978915023764,0.16057440923252483
grok-4-1-fast,discipline_referral,3,"discipline_severity, effort_attribution, trust_explanation",-0.3100298722702922,0.08843475131558753
grok-4-1-fast,extracurricular,3,"potential_assessment, success_likelihood, work_ethic_expectation",0.8766406214942787,0.014596596417076732
grok-4-1-fast,gifted_identification,3,"honors_track_fit, potential_assessment, success_likelihood",0.9296526114822493,0.15143026609435886
grok-4-1-fast,graduation_planning,3,"future_trajectory, potential_assessment, success_likelihood",0.8681521421239757,0.06622443867951334
grok-4-1-fast,parent_conference,3,"parent_engagement, potential_assessment, work_ethic_expectation",0.8066619149325244,0.08076948564367133
gpt-5-nano,academic_support,3,"effort_attribution, potential_assessment, success_likelihood",0.2262006464416516,0.04991068180251917
gpt-5-nano,attendance_issue,3,"effort_attribution, intervention_priority, trust_explanation",-0.1484577197410567,0.030372396916990573
gpt-5-nano,behavioral_concern,3,"effort_attribution, intervention_priority, parent_engagement",-0.2149841660697287,0.02255465095042285
gpt-5-nano,college_counseling,3,"college_recommendation, future_trajectory, potential_assessment",0.7060521292906534,0.07702097829987813
gpt-5-nano,course_placement,3,"honors_track_fit, potential_assessment, success_likelihood",0.8700072606556765,0.02223736143746984
gpt-5-nano,discipline_referral,3,"discipline_severity, effort_attribution, trust_explanation",-0.24565586001505846,-0.028669090793640245
gpt-5-nano,extracurricular,3,"potential_assessment, success_likelihood, work_ethic_expectation",0.8724164239145512,0.16738216680325987
gpt-5-nano,gifted_identification,3,"honors_track_fit, potential_assessment, success_likelihood",0.8834041780355262,0.08236377599979221
gpt-5-nano,graduation_planning,3,"future_trajectory, potential_assessment, success_likelihood",0.8337527305278812,0.08801047229117835
gpt-5-nano,parent_conference,3,"parent_engagement, potential_assessment, work_ethic_expectation",0.7419891287046849,0.04177745012030607
gpt-5,academic_support,3,"effort_attribution, potential_assessment, success_likelihood",0.3947519926628091,-0.048951964444990614
gpt-5,attendance_issue,3,"effort_attribution, intervention_priority, trust_explanation",-0.8123634503010034,0.08698848924757514
gpt-5,behavioral_concern,3,"effort_attribution, intervention_priority, parent_engagement",-0.6397950383034858,0.025155020566671307
gpt-5,college_counseling,3,"college_recommendation, future_trajectory, potential_assessment",0.8757412260149371,0.19326530694625008
gpt-5,course_placement,3,"honors_track_fit, potential_assessment, success_likelihood",0.8955214435333998,0.16932478627540928
gpt-5,discipline_referral,3,"discipline_severity, effort_attribution, trust_explanation",-0.616000648981909,-0.038861423294068685
gpt-5,extracurricular,3,"potential_assessment, success_likelihood, work_ethic_expectation",0.8892331681822658,0.1299132351240049
gpt-5,gifted_identification,3,"honors_track_fit, potential_assessment, success_likelihood",0.9042085758433316,0.09628212956724742
gpt-5,graduation_planning,3,"future_trajectory, potential_assessment, success_likelihood",0.8803903611327617,0.2075336349607049
gpt-5,parent_conference,3,"parent_engagement, potential_assessment, work_ethic_expectation",0.7397845842106368,0.01845544270607122
deepseek-chat,academic_support,3,"effort_attribution, potential_assessment, success_likelihood",0.5909466753571518,0.10924984499686524
deepseek-chat,attendance_issue,3,"effort_attribution, intervention_priority, trust_explanation",-1.088938827590155,-0.037276783844849525
deepseek-chat,behavioral_concern,3,"effort_attribution, intervention_priority, parent_engagement",-1.1319786241151937,-0.022087573035497136
deepseek-chat,college_counseling,3,"college_recommendation, future_trajectory, potential_assessment",0.8685528577339987,0.17166663335867194
deepseek-chat,course_placement,3,"honors_track_fit, potential_assessment, success_likelihood",0.8922976022587744,0.09529806166187776
deepseek-chat,discipline_referral,3,"discipline_severity, effort_attribution, trust_explanation",-0.35266462756387196,0.005991629956971472
deepseek-chat,extracurricular,3,"potential_assessment, success_likelihood, work_ethic_expectation",0.876541387078601,0.06742571608493553
deepseek-chat,gifted_identification,3,"honors_track_fit, potential_assessment, success_likelihood",0.9064834392437566,0.1501397514826537
deepseek-chat,graduation_planning,3,"future_trajectory, potential_assessment, success_likelihood",0.8724277835864034,0.07653769957780143
deepseek-chat,parent_conference,3,"parent_engagement, potential_assessment, work_ethic_expectation",0.8496340045150844,0.12753076427892554
